iter	Passed	Remaining
405	6578	9624
406	6594	9607
407	6608	9588
408	6621	9568
409	6635	9548
410	6651	9532
411	6664	9511
412	6677	9490
413	6692	9472
414	6706	9454
415	6719	9433
416	6734	9416
417	6751	9400
418	6764	9380
419	6778	9360
420	6795	9346
421	6810	9327
422	6825	9310
423	6840	9292
424	6856	9275
425	6871	9259
426	6885	9240
427	6901	9222
428	6915	9203
429	6927	9183
430	6945	9168
431	6959	9151
432	6974	9132
433	6987	9112
434	7002	9094
435	7015	9074
436	7030	9057
437	7045	9040
438	7059	9021
439	7074	9003
440	7089	8986
441	7103	8967
442	7116	8947
443	7130	8928
444	7145	8911
445	7158	8892
446	7172	8873
447	7186	8854
448	7200	8836
449	7214	8817
450	7228	8798
451	7243	8782
452	7257	8764
453	7272	8746
454	7286	8728
455	7301	8710
456	7314	8690
457	7328	8672
458	7345	8657
459	7357	8637
460	7371	8618
461	7384	8599
462	7398	8580
463	7410	8560
464	7424	8542
465	7441	8526
466	7455	8509
467	7469	8491
468	7483	8472
469	7497	8454
470	7510	8435
471	7525	8418
472	7540	8401
473	7556	8385
474	7575	8372
475	7591	8357
476	7605	8338
477	7618	8319
478	7633	8302
479	7647	8284
480	7662	8267
481	7676	8249
482	7691	8232
483	7705	8214
484	7717	8195
485	7735	8181
486	7749	8163
487	7762	8144
488	7775	8125
489	7790	8107
490	7803	8089
491	7818	8073
492	7833	8055
493	7846	8036
494	7862	8021
495	7874	8001
496	7890	7985
497	7903	7967
498	7918	7950
499	7933	7933
500	7947	7915
501	7961	7897
502	7978	7883
503	7994	7867
504	8006	7848
505	8021	7831
506	8037	7815
507	8051	7797
508	8066	7781
509	8082	7765
510	8097	7748
511	8110	7730
512	8124	7712
513	8139	7696
514	8155	7680
515	8170	7663
516	8184	7646
517	8199	7629
518	8212	7611
519	8227	7594
520	8242	7577
521	8256	7560
522	8270	7543
523	8286	7527
524	8300	7510
525	8315	7493
526	8331	7477
527	8345	7460
528	8361	7445
529	8377	7429
530	8391	7411
531	8403	7392
532	8417	7374
533	8432	7358
534	8446	7341
535	8460	7323
536	8475	7307
537	8490	7290
538	8504	7274
539	8532	7268
540	8559	7262
541	8584	7253
542	8608	7245
543	8633	7236
544	8659	7229
545	8684	7221
546	8711	7214
547	8737	7206
548	8768	7203
549	8797	7197
550	8823	7190
551	8847	7180
552	8868	7168
553	8894	7160
554	8921	7153
555	8945	7143
556	8968	7133
557	8996	7125
558	9027	7122
559	9056	7115
560	9080	7105
561	9107	7097
562	9133	7089
563	9157	7078
564	9182	7069
565	9207	7059
566	9233	7051
567	9258	7041
568	9284	7032
569	9307	7021
570	9337	7015
571	9362	7005
572	9388	6996
573	9413	6986
574	9439	6976
575	9466	6968
576	9492	6959
577	9517	6948
578	9542	6938
579	9570	6930
580	9596	6920
581	9621	6910
582	9649	6901
583	9674	6891
584	9701	6882
585	9727	6872
586	9754	6862
587	9780	6852
588	9806	6842
589	9831	6832
590	9854	6820
591	9877	6807
592	9901	6795
593	9925	6784
594	9954	6775
595	9980	6765
596	10015	6760
597	10040	6749
598	10066	6738
599	10090	6727
600	10116	6716
601	10140	6704
602	10166	6693
603	10190	6681
604	10218	6671
605	10244	6660
606	10270	6649
607	10293	6636
608	10317	6623
609	10340	6611
610	10365	6599
611	10392	6588
612	10416	6576
613	10443	6565
614	10467	6553
615	10492	6540
616	10519	6529
617	10548	6520
618	10574	6508
619	10599	6496
620	10626	6485
621	10649	6472
622	10675	6460
623	10702	6448
624	10728	6436
625	10752	6424
626	10777	6411
627	10802	6399
628	10830	6388
629	10856	6375
630	10881	6363
631	10906	6350
632	10931	6337
633	10953	6323
634	10977	6310
635	11003	6297
636	11028	6284
637	11051	6270
638	11078	6258
639	11104	6246
640	11131	6234
641	11152	6219
642	11179	6207
643	11203	6192
644	11227	6179
645	11253	6167
646	11281	6155
647	11304	6140
648	11330	6127
649	11357	6115
650	11381	6101
651	11408	6089
652	11434	6076
653	11460	6063
654	11486	6050
655	11515	6038
656	11547	6028
657	11567	6012
658	11591	5998
659	11629	5991
660	11659	5979
661	11685	5966
662	11713	5953
663	11738	5939
664	11765	5927
665	11789	5912
666	11814	5898
667	11841	5885
668	11864	5870
669	11892	5857
670	11918	5843
671	11943	5829
672	11968	5815
673	11995	5801
674	12018	5786
675	12045	5773
676	12071	5759
677	12097	5745
678	12121	5730
679	12148	5716
680	12173	5702
681	12197	5687
682	12220	5672
683	12244	5657
684	12274	5644
685	12299	5630
686	12325	5615
687	12348	5599
688	12373	5585
689	12398	5570
690	12423	5555
691	12447	5540
692	12473	5525
693	12498	5510
694	12525	5496
695	12551	5482
696	12576	5467
697	12604	5453
698	12630	5438
699	12653	5423
700	12679	5408
701	12706	5394
702	12731	5378
703	12755	5363
704	12780	5348
705	12805	5332
706	12828	5316
707	12854	5301
708	12881	5286
709	12908	5272
710	12937	5258
711	12963	5243
712	12989	5228
713	13016	5213
714	13038	5196
715	13063	5181
716	13088	5166
717	13113	5150
718	13138	5134
719	13164	5119
720	13191	5104
721	13218	5089
722	13243	5073
723	13268	5058
724	13296	5043
725	13321	5027
726	13349	5012
727	13373	4996
728	13400	4981
729	13425	4965
730	13452	4950
731	13482	4936
732	13508	4920
733	13535	4905
734	13562	4890
735	13586	4873
736	13613	4858
737	13640	4842
738	13669	4827
739	13695	4811
740	13719	4795
741	13744	4779
742	13768	4762
743	13793	4746
744	13819	4730
745	13846	4714
746	13875	4699
747	13899	4682
748	13922	4665
749	13946	4648
750	13968	4631
751	13995	4615
752	14019	4598
753	14043	4581
754	14068	4565
755	14095	4549
756	14123	4533
757	14149	4517
758	14175	4501
759	14197	4483
760	14220	4466
761	14244	4449
762	14268	4432
763	14294	4415
764	14315	4397
765	14336	4379
766	14364	4363
767	14394	4348
768	14418	4331
769	14444	4314
770	14470	4298
771	14496	4281
772	14522	4264
773	14547	4247
774	14575	4231
775	14607	4216
776	14631	4199
777	14654	4181
778	14684	4165
779	14711	4149
780	14733	4131
781	14755	4113
782	14783	4097
783	14808	4079
784	14834	4062
785	14860	4045
786	14885	4028
787	14910	4011
788	14935	3994
789	14967	3978
790	14996	3962
791	15024	3945
792	15051	3928
793	15076	3911
794	15102	3894
795	15123	3875
796	15154	3859
797	15183	3843
798	15208	3825
799	15233	3808
800	15254	3789
801	15281	3772
802	15311	3756
803	15339	3739
804	15365	3722
805	15391	3704
806	15411	3685
807	15435	3667
808	15457	3649
809	15481	3631
810	15507	3613
811	15528	3595
812	15552	3577
813	15580	3560
814	15605	3542
815	15629	3524
816	15654	3506
817	15680	3488
818	15707	3471
819	15729	3452
820	15753	3434
821	15780	3417
822	15807	3399
823	15831	3381
824	15857	3363
825	15886	3346
826	15912	3328
827	15939	3311
828	15962	3292
829	15992	3275
830	16016	3257
831	16042	3239
832	16066	3221
833	16093	3203
834	16117	3184
835	16141	3166
836	16167	3148
837	16192	3130
838	16218	3112
839	16242	3093
840	16268	3075
841	16292	3057
842	16318	3039
843	16344	3020
844	16367	3002
845	16392	2983
846	16419	2965
847	16445	2947
848	16477	2930
849	16504	2912
850	16528	2894
851	16555	2875
852	16579	2857
853	16604	2838
854	16629	2820
855	16655	2801
856	16679	2783
857	16703	2764
858	16724	2745
859	16752	2727
860	16779	2708
861	16806	2690
862	16827	2671
863	16855	2653
864	16881	2634
865	16907	2616
866	16933	2597
867	16960	2579
868	16983	2560
869	17008	2541
870	17034	2522
871	17059	2504
872	17089	2486
873	17116	2467
874	17140	2448
875	17166	2429
876	17190	2411
877	17214	2391
878	17239	2373
879	17268	2354
880	17292	2335
881	17318	2317
882	17339	2297
883	17364	2278
884	17391	2259
885	17421	2241
886	17444	2222
887	17470	2203
888	17497	2184
889	17520	2165
890	17545	2146
891	17572	2127
892	17597	2108
893	17624	2089
894	17652	2070
895	17683	2052
896	17710	2033
897	17735	2014
898	17761	1995
899	17786	1976
900	17812	1957
901	17835	1937
902	17863	1918
903	17887	1899
904	17913	1880
905	17939	1861
906	17965	1842
907	17992	1823
908	18017	1803
909	18042	1784
910	18064	1764
911	18089	1745
912	18113	1726
913	18142	1707
914	18166	1687
915	18191	1668
916	18217	1648
917	18244	1629
918	18271	1610
919	18298	1591
920	18323	1571
921	18349	1552
922	18374	1532
923	18398	1513
924	18424	1493
925	18448	1474
926	18470	1454
927	18496	1435
928	18522	1415
929	18546	1395
930	18573	1376
931	18600	1357
932	18624	1337
933	18648	1317
934	18673	1298
935	18699	1278
936	18725	1259
937	18752	1239
938	18779	1219
939	18805	1200
940	18832	1180
941	18861	1161
942	18885	1141
943	18912	1121
944	18937	1102
945	18965	1082
946	18988	1062
947	19015	1043
948	19038	1023
949	19066	1003
950	19094	983
951	19120	964
952	19143	944
953	19167	924
954	19191	904
955	19217	884
956	19243	864
957	19265	844
958	19292	824
959	19317	804
960	19345	785
961	19370	765
962	19396	745
963	19424	725
964	19452	705
965	19477	685
966	19504	665
967	19530	645
968	19558	625
969	19584	605
970	19610	585
971	19635	565
972	19659	545
973	19683	525
974	19708	505
975	19735	485
976	19761	465
977	19789	445
978	19822	425
979	19847	405
980	19872	384
981	19898	364
982	19925	344
983	19956	324
984	19982	304
985	20009	284
986	20034	263
987	20061	243
988	20082	223
989	20109	203
990	20134	182
991	20159	162
992	20184	142
993	20209	121
994	20235	101
995	20261	81
996	20286	61
997	20311	40
998	20338	20
999	20367	0
