iter	Logloss
0	0.6887960881
1	0.6850792787
2	0.6815221204
3	0.6787956568
4	0.6766223321
5	0.6749032274
6	0.6726228833
7	0.6707983797
8	0.6694109606
9	0.6676638794
10	0.6664148362
11	0.6650887045
12	0.6640009901
13	0.6628832998
14	0.6621721484
15	0.6611684167
16	0.6605342226
17	0.6597691923
18	0.6589918195
19	0.6585343
20	0.6578814124
21	0.6573849689
22	0.6568857167
23	0.656497332
24	0.6559602758
25	0.6552990776
26	0.6548513064
27	0.6543849857
28	0.6537622958
29	0.6533473212
30	0.6529187393
31	0.6526629212
32	0.652458695
33	0.6520189465
34	0.6515710413
35	0.6512989009
36	0.6511366288
37	0.6507933717
38	0.6506563384
39	0.6504815607
40	0.6501491004
41	0.6499668308
42	0.6496228905
43	0.6493807391
44	0.6491221908
45	0.6488374624
46	0.6486583088
47	0.6484339091
48	0.6480349266
49	0.6477012055
50	0.6475535969
51	0.6473671082
52	0.6471457642
53	0.6468222379
54	0.6466284517
55	0.6463674977
56	0.6462527846
57	0.6460236369
58	0.6458483988
59	0.6456427308
60	0.6454354772
61	0.6452545308
62	0.6451123223
63	0.6448631738
64	0.6447466371
65	0.6445362553
66	0.6443876527
67	0.6441905237
68	0.6439167385
69	0.6438470292
70	0.6436934607
71	0.6435871384
72	0.6434618847
73	0.6431436564
74	0.6428867905
75	0.6427866024
76	0.6426747041
77	0.6425590776
78	0.6423416052
79	0.6421474435
80	0.6418978177
81	0.6417517276
82	0.6416976063
83	0.641528678
84	0.6414465202
85	0.6413728072
86	0.6412533609
87	0.6411230064
88	0.6409066505
89	0.6408116662
90	0.6406584267
91	0.6405782839
92	0.640421236
93	0.6402306856
94	0.6401394013
95	0.6400107257
96	0.6397589077
97	0.6395443203
98	0.6394543351
99	0.6393364947
100	0.6392790017
101	0.6391549985
102	0.6390955521
103	0.6389392247
104	0.6388426966
105	0.638731515
106	0.6385457456
107	0.6383367782
108	0.638194302
109	0.6380816613
110	0.6379873514
111	0.6377953617
112	0.6377426038
113	0.6376166774
114	0.63748151
115	0.6374041422
116	0.6372169886
117	0.637183503
118	0.6370675795
119	0.6369461625
120	0.6367934357
121	0.6366749199
122	0.6365660579
123	0.6364177997
124	0.6362662075
125	0.6362226144
126	0.6361492877
127	0.6360806109
128	0.6359815023
129	0.6358205661
130	0.6356871761
131	0.6356250553
132	0.6355245758
133	0.6354610231
134	0.6353745289
135	0.6351429434
136	0.6348841896
137	0.634701713
138	0.6345901602
139	0.6344966937
140	0.634357448
141	0.6342742933
142	0.6341816659
143	0.6340362325
144	0.6339523514
145	0.6337941262
146	0.6335999498
147	0.6334579543
148	0.6333692871
149	0.6332513723
150	0.633064154
151	0.6329697335
152	0.632822736
153	0.6326861268
154	0.6325988149
155	0.6325131437
156	0.6323160202
157	0.6322247344
158	0.6320740115
159	0.6319204506
160	0.6317553408
161	0.6316692838
162	0.6315617222
163	0.6314379939
164	0.6312775328
165	0.6311949449
166	0.6309053468
167	0.6307677106
168	0.6306866844
169	0.6305765659
170	0.6303835894
171	0.6301258033
172	0.6299461433
173	0.6298841303
174	0.6296838979
175	0.6294780762
176	0.6293521671
177	0.6291347525
178	0.628953648
179	0.6288264443
180	0.6286134086
181	0.6284032454
182	0.6281315529
183	0.627951362
184	0.6277708217
185	0.6275609995
186	0.6273768137
187	0.627215899
188	0.6270838159
189	0.626876819
190	0.6266507089
191	0.6264300768
192	0.6262757048
193	0.6261270658
194	0.6259067699
195	0.6257465996
196	0.6255841085
197	0.6253524302
198	0.6251500675
199	0.624888506
200	0.6246689679
201	0.6245126782
202	0.624386338
203	0.624223457
204	0.6240864402
205	0.6238455208
206	0.6235768742
207	0.6233882551
208	0.6231621339
209	0.6229559752
210	0.622798053
211	0.6226270409
212	0.6224147119
213	0.6223320813
214	0.6221212002
215	0.6218642972
216	0.6216652107
217	0.6215095171
218	0.6212955646
219	0.6211197524
220	0.6209616469
221	0.620800667
222	0.6206634667
223	0.6205026958
224	0.6203270188
225	0.6201248912
226	0.6199280116
227	0.6197634419
228	0.619613544
229	0.6193747723
230	0.6191122216
231	0.6189480042
232	0.6187330159
233	0.6185462208
234	0.6183632511
235	0.6181808116
236	0.6180708616
237	0.6179369767
238	0.6177796417
239	0.6176133194
240	0.6174662169
241	0.6172997212
242	0.6171672322
243	0.616994475
244	0.6168667414
245	0.6167339885
246	0.616537114
247	0.6164158642
248	0.6162516523
249	0.616041687
250	0.6158720554
251	0.6157066162
252	0.6154803923
253	0.6152898746
254	0.6150966972
255	0.6149555458
256	0.614758229
257	0.6145680691
258	0.6143878529
259	0.6141433952
260	0.6140015986
261	0.613812028
262	0.6136245744
263	0.6134169115
264	0.6132178102
265	0.6130754267
266	0.6129056895
267	0.6126822929
268	0.6125231116
269	0.6123389655
270	0.6121436819
271	0.6120177599
272	0.6118417643
273	0.6116432666
274	0.6115214253
275	0.6113428823
276	0.6111352806
277	0.6110172558
278	0.6108732936
279	0.6107759456
280	0.6106163852
281	0.6105300659
282	0.6104208977
283	0.6102986582
284	0.6101263813
285	0.6099540033
286	0.6097747052
287	0.6096271901
288	0.6094936683
289	0.6093086148
290	0.6091466278
291	0.6090017366
292	0.6088113505
293	0.6086293358
294	0.6084388507
295	0.6082989284
296	0.6081528542
297	0.6079950947
298	0.6078070991
299	0.6076699864
300	0.607515931
301	0.6073579377
302	0.6072133955
303	0.6070610764
304	0.607024051
305	0.6069087137
306	0.6067681905
307	0.6067033912
308	0.6065441818
309	0.6063950817
310	0.6062005617
311	0.6061242239
312	0.6059390466
313	0.6057888524
314	0.6056982597
315	0.6055628706
316	0.6054389482
317	0.6052723171
318	0.6051088455
319	0.6049442944
320	0.6047622017
321	0.6045736871
322	0.604379956
323	0.6042043527
324	0.6040369741
325	0.6039607047
326	0.6038342858
327	0.6036623316
328	0.6035111642
329	0.6033621097
330	0.6032045024
331	0.6029986376
332	0.6028197893
333	0.6026399203
334	0.6024942891
335	0.6024327092
336	0.6022538548
337	0.6020525188
338	0.6020328191
339	0.6018933969
340	0.6017753868
341	0.601539862
342	0.6014171566
343	0.6012717182
344	0.601096109
345	0.6008440803
346	0.6006654784
347	0.6004996813
348	0.6004304513
349	0.6003430936
350	0.6001967231
351	0.600041229
352	0.5999118841
353	0.599806376
354	0.5997212546
355	0.5995790076
356	0.599426661
357	0.5993403806
358	0.5992342606
359	0.5990609589
360	0.5989083937
361	0.598754704
362	0.5986521514
363	0.5985221804
364	0.5983786391
365	0.5982211745
366	0.5980441188
367	0.5978735967
368	0.5976706923
369	0.5975431193
370	0.5974093772
371	0.5972200709
372	0.597034479
373	0.5968136879
374	0.5967004554
375	0.5965303012
376	0.5963659876
377	0.5962261619
378	0.5960693099
379	0.5959873807
380	0.5958305577
381	0.5956748853
382	0.5955243472
383	0.5954128249
384	0.5952316359
385	0.5951536547
386	0.59497493
387	0.5948777186
388	0.5947259638
389	0.5945772297
390	0.5944486238
391	0.5943111254
392	0.5941576234
393	0.5939610962
394	0.5938492189
395	0.5937751066
396	0.593696649
397	0.5935314086
398	0.5933201042
399	0.5932218482
400	0.5931557971
401	0.5930073296
402	0.592845133
403	0.5926653646
404	0.5925962502
405	0.5924434092
406	0.5922953548
407	0.5921265146
408	0.5920000536
409	0.5918914664
410	0.5917318058
411	0.5915963377
412	0.591501286
413	0.5913426946
414	0.5911859146
415	0.5910869396
416	0.5909202974
417	0.5907891014
418	0.5906291545
419	0.5905322103
420	0.5903902555
421	0.5902619946
422	0.5901354397
423	0.5899628727
424	0.5897555913
425	0.5895996601
426	0.5894277483
427	0.5893149663
428	0.5892366553
429	0.5891808332
430	0.5889992918
431	0.5888542866
432	0.5887177114
433	0.5885903494
434	0.5884341379
435	0.5883175389
436	0.5881494223
437	0.5880389351
438	0.5878702952
439	0.5877314382
440	0.5875939302
441	0.5874722465
442	0.5873875274
443	0.5872663389
444	0.5871634721
445	0.5870792251
446	0.5869571711
447	0.5868004757
448	0.5866709442
449	0.5865515612
450	0.5864588797
451	0.5862951138
452	0.5861362501
453	0.5859975277
454	0.585891966
455	0.585747743
456	0.5856769465
457	0.5855310017
458	0.5853220105
459	0.5852967822
460	0.5851452895
461	0.585059086
462	0.5849833569
463	0.5849123614
464	0.5847640049
465	0.5846158867
466	0.5844334916
467	0.5843182178
468	0.5842063211
469	0.5841069629
470	0.5840541884
471	0.583870791
472	0.5836846671
473	0.5835291371
474	0.5834389503
475	0.583336206
476	0.5832289043
477	0.5831713318
478	0.5830019018
479	0.5828766085
480	0.5827549175
481	0.5825937472
482	0.582472322
483	0.5823236158
484	0.5822954917
485	0.5821230544
486	0.5820440289
487	0.5818835814
488	0.5817867382
489	0.5816343808
490	0.5815023109
491	0.5812923766
492	0.5812150732
493	0.5811125661
494	0.5809954015
495	0.5809403094
496	0.5808001552
497	0.580696107
498	0.58058389
499	0.5804989158
500	0.5804137513
501	0.5802372962
502	0.5800985777
503	0.5799724122
504	0.5799117042
505	0.5798226297
506	0.5796811735
507	0.5795548609
508	0.5794109147
509	0.5793290656
510	0.5791971867
511	0.5790723092
512	0.5789093805
513	0.5788160743
514	0.5786477239
515	0.57853404
516	0.5784783116
517	0.5783777663
518	0.5782854713
519	0.5780883654
520	0.577910471
521	0.577779171
522	0.5776506935
523	0.5775325914
524	0.5773704847
525	0.5772381601
526	0.5771195304
527	0.5770010946
528	0.5768858173
529	0.5767502547
530	0.5766064633
531	0.5765691559
532	0.5764279627
533	0.5763305571
534	0.5762312187
535	0.5761082728
536	0.5759623687
537	0.5758178139
538	0.5757247266
539	0.5755827482
540	0.5754385878
541	0.5753570959
542	0.5752038939
543	0.5751064681
544	0.574949481
545	0.5748177283
546	0.5746823867
547	0.574552301
548	0.574402314
549	0.5742309781
550	0.5740841171
551	0.573968319
552	0.5737832043
553	0.5736834317
554	0.5735415426
555	0.5734166965
556	0.5733697716
557	0.5732368736
558	0.573104787
559	0.5730447027
560	0.5729805351
561	0.5728646418
562	0.5727979509
563	0.5727007444
564	0.5725880323
565	0.5725020574
566	0.5724302295
567	0.5723421278
568	0.5721973563
569	0.5721496178
570	0.5720522151
571	0.5719137288
572	0.5717493378
573	0.5716132903
574	0.5715241898
575	0.5713598725
576	0.5712498117
577	0.5710957142
578	0.5709671739
579	0.5707886238
580	0.5707533976
581	0.5706065971
582	0.57052958
583	0.570437331
584	0.5703593587
585	0.570235226
586	0.5700422225
587	0.5699106741
588	0.5697503026
589	0.5695913864
590	0.5694982864
591	0.569476328
592	0.569423076
593	0.5693255925
594	0.569200467
595	0.5690922085
596	0.5689614856
597	0.5688876326
598	0.568750599
599	0.5686887333
600	0.5685648951
601	0.5684379054
602	0.5683172407
603	0.5681895429
604	0.5680643696
605	0.567985414
606	0.5678540726
607	0.5677253329
608	0.5676243304
609	0.567438948
610	0.567334111
611	0.5671528924
612	0.5671069457
613	0.5670302782
614	0.5668905214
615	0.5668007208
616	0.5667353138
617	0.5666161622
618	0.5664747427
619	0.566338467
620	0.566214703
621	0.5661132552
622	0.5659618638
623	0.5658109287
624	0.5657254206
625	0.5655658604
626	0.5654423351
627	0.5653300932
628	0.5652137942
629	0.5651133414
630	0.5650176514
631	0.5649415133
632	0.5647896899
633	0.5647712779
634	0.564640116
635	0.5645266275
636	0.5644328693
637	0.5643054754
638	0.5641334587
639	0.5640718062
640	0.5639690483
641	0.563854435
642	0.5637270625
643	0.5636172777
644	0.5634882178
645	0.5633220798
646	0.563184313
647	0.5630726374
648	0.5629780095
649	0.5627961341
650	0.5627169991
651	0.5626013745
652	0.5624360229
653	0.5623274185
654	0.5622193581
655	0.5621114224
656	0.5620407421
657	0.5619200272
658	0.5618150161
659	0.5617398565
660	0.561632207
661	0.5615303892
662	0.561390572
663	0.5612578399
664	0.5611081652
665	0.5610479208
666	0.5609587604
667	0.5608955556
668	0.5607885092
669	0.5607448601
670	0.5606318809
671	0.5604994684
672	0.5603945237
673	0.5602849395
674	0.5601796982
675	0.5600323125
676	0.5599363949
677	0.5598615421
678	0.5597457608
679	0.5595485067
680	0.5594544754
681	0.5593313719
682	0.5592221071
683	0.5591453482
684	0.5590465183
685	0.5588848958
686	0.5587493073
687	0.5586641325
688	0.5585682412
689	0.5584434275
690	0.5583980845
691	0.5582723331
692	0.5581946505
693	0.5580943025
694	0.557992946
695	0.5578739112
696	0.5577622519
697	0.5576130551
698	0.5574768251
699	0.5573420244
700	0.5572240991
701	0.5571262212
702	0.5570221302
703	0.5569184522
704	0.5567703143
705	0.5566383357
706	0.5565785427
707	0.5564930151
708	0.5563744734
709	0.5562863618
710	0.5561364448
711	0.5560779463
712	0.5559532858
713	0.5558233255
714	0.5558183211
715	0.5557403918
716	0.5556474609
717	0.5555740439
718	0.5555286851
719	0.555379357
720	0.5552902444
721	0.555162524
722	0.5550258196
723	0.5548878691
724	0.5547639672
725	0.5546747023
726	0.554535041
727	0.5544444327
728	0.5543556977
729	0.5542494533
730	0.5541339609
731	0.5539692157
732	0.5538508577
733	0.5537243366
734	0.553619808
735	0.5535334886
736	0.5534472372
737	0.5532788735
738	0.5531201021
739	0.5529937472
740	0.5528776463
741	0.5528000983
742	0.5526820767
743	0.5525914472
744	0.5525106278
745	0.5523642833
746	0.5523035552
747	0.552233928
748	0.5521928591
749	0.5521050268
750	0.5520260515
751	0.5519679903
752	0.5518405109
753	0.5517635441
754	0.5516204508
755	0.5515194213
756	0.5514303565
